POWER RANK,Member,POWER RANK VALUE,PPG,PPG Rank,Wins,Win Rank,Overall Wins,Overall Win Rank,Recent Wins,Recent Wins Rank,Consistency Rating,Consistency Rank,ROS Roster Rank
1,TATEZ,1.26,376.22,1,1,1,7,1,0,1,0,1,2
2,rahoolramesh,3.11,355.9,5,1,1,3,5,0,1,0,1,1
2,rowthehill,3.11,360.3,3,1,1,5,3,0,1,0,1,5
4,nchadz,3.37,368,2,1,1,6,2,0,1,0,1,8
5,rohandang856,4.21,359.14,4,0,5,4,4,0,1,0,1,4
6,arpanchavan00,5.53,318.14,7,0,5,1,7,0,1,0,1,3
7,umangchavan,5.79,339.64,6,0,5,2,6,0,1,0,1,6
8,joooon,7.11,308.42,8,0,5,0,8,0,1,0,1,7
